ra_rad,dec_rad,magnitude,bv
1.1252759353,-0.5898924503,3.550,-0.108
1.5138797625,-0.2586918291,3.550,0.104
3.7498562746,-0.8038653708,3.550,-0.184
4.8042113830,1.2694275841,3.550,0.489
5.2739898290,-1.1550949974,3.550,0.751
0.0847702514,-0.1540064812,3.560,1.214
0.5956338357,-0.8990568770,3.560,-0.120
2.9641835698,-0.2579342054,3.560,1.112
4.4171480579,-0.6635311696,3.560,-0.210
2.0265349136,0.4258253002,3.570,0.932
2.3720142217,0.8230366183,3.570,0.007
3.8040759432,0.5300815759,3.570,1.298
4.0221390996,-0.6328804085,3.570,1.534
1.9115413098,0.2886841442,3.580,0.106
5.3147642378,-0.2189489681,3.580,0.883
0.4275720595,0.8487224280,3.590,1.275
1.3858197865,-0.1194574790,3.590,-0.115
1.5030051472,-0.3917981801,3.590,0.481
3.1009932624,0.0308001382,3.590,0.518
3.2348013394,-1.0541988799,3.590,1.389
0.3666213510,-0.1428247701,3.600,1.065
1.8011316792,0.5927356988,3.600,0.102
2.2702075566,-0.9236611784,3.600,-0.168
2.4901504781,-0.7062783622,3.600,0.371
4.0885392765,-0.4910497706,3.600,1.361
4.5862849841,-1.0591329524,3.600,-0.104
0.7416942123,0.4757856031,3.610,-0.100
0.8936663372,0.1575835062,3.610,0.887
2.6641927558,-0.2156194230,3.610,1.007
3.4132772364,-1.2487630976,3.610,1.190
4.6501386030,-1.1296446603,3.610,1.161
0.3991719865,0.2678351374,3.620,0.974
0.9999094198,0.4198112958,3.620,-0.070
2.0300577261,-0.6626768017,3.620,1.706
4.4269571986,-0.7393443823,3.620,1.393
6.0297678252,0.7387276952,3.620,-0.099
3.0787977931,-1.1646366132,3.630,0.160
5.3998260776,0.2547323236,3.640,0.425
1.1335623407,0.2727538118,3.650,0.981
2.4937578754,1.1006371004,3.650,0.360
4.1285221525,0.2691616326,3.650,0.073
4.7413231774,-0.8742612018,3.650,-0.101
5.8853892850,-0.0003485765,3.650,0.406
4.0484181742,0.5079903419,3.660,0.319
4.0956602635,-0.5197198479,3.660,-0.177
3.6843459064,1.1235705482,3.670,-0.049
5.4751408994,-1.0202174619,3.670,1.250
1.2706261564,0.0978275187,3.680,-0.157
2.2846024722,-0.5792116933,3.680,-0.180
5.1809562477,0.3234843159,3.680,1.313
6.0626043882,-0.3695282573,3.680,1.202
0.1613176818,0.9406785238,3.690,-0.196
0.5059440330,-0.9007451556,3.690,0.844
1.3198096307,0.7169086049,3.690,1.154
2.5536217696,-1.0909687168,3.690,1.010
3.0807281738,0.8339079475,3.690,1.181
5.6727165093,-0.2908121293,3.690,0.320
0.8705556573,-0.3797463610,3.700,1.614
4.7026353945,0.5104717995,3.700,0.935
6.0962850560,0.0572867479,3.700,0.916
1.2839148437,0.0425977628,3.710,-0.179
1.5551097156,-0.2472730146,3.710,0.337
2.0604366188,-0.7081810612,3.710,1.012
4.1487178651,0.0781511336,3.710,0.147
4.7444582889,0.1669206224,3.710,0.159
5.2155378112,0.1118191158,3.710,0.855
0.9290861752,-0.1650778157,3.720,0.881
0.9812049122,0.4208571624,3.720,-0.105
1.5687310664,0.9474459814,3.720,1.010
5.5193027408,0.7666856508,3.720,1.609
0.9039461732,0.1698673059,3.730,-0.082
3.8669896014,0.0330370823,3.730,-0.005
4.6841498457,0.9926148695,3.730,1.177
5.6787567582,-1.3507111162,3.730,1.008
